mail,sentiment,journey,category,product-category,service-category,store-category,is_request,is_invalid
オートチャージで丁寧に教えてくれた。感謝。,POSITIVE,['DURING'],['SERVICE'],[],['customer service'],[],False,False
スプレッドで、明治スプレッタブルという商品を置いてほしい。しょうゆとマヨネーズは安めにしてほしい。お菓子はスーパーと値段がほぼ変わらないので季節ものの商品は安めに置いて頂くとかしたらわざわざ買いに行く価値があるかと思います。,POSITIVE,['DURING'],"['PRODUCT', 'SERVICE']","['daily food', 'snack and delicacy']",['discounts'],[],True,False
シャンプーのジュレームを安くしてほしい,POSITIVE,['DURING'],['PRODUCT'],['beauty treatment device'],[],[],True,False
いつも、Aさんの対応が素晴らしい。これからも頑張ってください。,POSITIVE,['DURING'],['SERVICE'],[],['customer service'],[],False,False
頻繁に売り場が、急に変わるのが困ります。,NEGATIVE,['DURING'],['STORE'],[],[],['displays/missing items'],False,False
店員の対応の良し悪しで選んでしまう,NEUTRAL,['DURING'],['SERVICE'],[],['customer service'],[],False,False
長い間レジ待ちした挙げ句、店員と一緒に現れた人に先を越された。気分悪い。,NEGATIVE,['REGISTER'],['SERVICE'],[],['customer service'],[],False,False
安いビールを入れて欲しいです！大宮店に。,POSITIVE,['DURING'],['PRODUCT'],['liquor and wine'],[],[],True,False
寝具のマットレスの種類を多くして欲しい,POSITIVE,['DURING'],['PRODUCT'],['bedding'],[],[],True,False
たくさん安い商品をそろえてほしい,POSITIVE,['DURING'],['SERVICE'],[],['discounts'],[],True,False
よかった。,POSITIVE,['DURING'],['UNCATEGORIZED'],[],[],[],False,False
ビッグピート、バスカーなどウイスキーの種類が増え、ドンキでウイスキーを買うという選択がひろがりました,POSITIVE,['DURING'],['PRODUCT'],['liquor and wine'],[],[],False,False
レジの店員が丁寧に服を畳んでビニール袋に入れてくれた。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
いつも通り丁寧にして頂いている,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
いつも買いやすい。,POSITIVE,['DURING'],['SERVICE'],[],['coupons and discounts'],[],False,False
駐車場の高齢者スペースを少ない。増やしてほしい,NEGATIVE,['AFTER'],['STORE'],[],[],['store equipment and shopping areas'],True,False
クーポンはあるが、商品がないのがここ何回かある。仕方ないが残念。,NEGATIVE,['DURING'],"['SERVICE', 'STORE']",[],['coupons and discounts'],['displays/missing items'],False,False
Tさんのレジがスムーズで早かった,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
大津店のスタッフさんはみんな対応がいいです。引っ越して来てから私達家族は1度も嫌な思いとかした事がないので凄く嬉しいです。これからもたくさん利用します！,POSITIVE,['AFTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
スムーズでした,POSITIVE,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
いつも優しい店員さんがいる,POSITIVE,['DURING'],['SERVICE'],[],[],[],False,False
近くにあるロジャースの方が安いものが割とあった。,POSITIVE,['DURING'],['PRODUCT'],['daily use items'],[],[],False,False
買いたい商品を探していましたが棚出しスタッフが忙しそうで質問が出来なかった,NEUTRAL,['DURING'],['SERVICE'],[],['staff busy'],[],False,False
カップフヌードルの合体シリーズがどこよりも高くて残念,NEGATIVE,['DURING'],['PRODUCT'],['snack and delicacy'],[],[],False,False
欲しいな〜っと思った時に？いくらするのか？その商品の値段が分からなくて買えなかった せっかくの激安商品かも知れないのに凄く残念な思いをしました,NEGATIVE,['DURING'],['SERVICE'],[],['price unknown'],[],False,False
カートが使いにくい！落ちる！まとめ買いは他で買う。,NEGATIVE,['DURING'],['STORE'],[],[],['cart difficult to use'],False,False
会計も空いていてスムーズにできてとても良かった。,POSITIVE,['REGISTER'],['SERVICE'],[],['smooth checkout'],[],False,False
レジ待ち時間が長いです 。,NEGATIVE,['REGISTER'],['SERVICE'],[],['long wait time'],[],False,False
目薬が欲しい。,POSITIVE,['DURING'],['PRODUCT'],['daily use items'],[],[],True,False
鶏肉、安くて美味しいのでよく買いますが、骨が取れていなく残っている事が多くて残念です。,NEGATIVE,['DURING'],['PRODUCT'],['fresh meat'],[],[],False,False
マタニティ用品を取り扱ってほしいウェアや下着、レギンス、葉酸サプリなど 現状見当たらないので 。,POSITIVE,['DURING'],['PRODUCT'],"['car life', 'toy and variety', 'home electronics', 'smartphone parts', 'adult goods', 'party goods', 'beauty treatment device', 'interior decoration', 'home goods', 'carpenter tool', 'bicycle', 'bedding', 'protein and training', 'outdoor', 'future products', 'daily use items', 'healthcare', 'pet and garden', ""men's underwear"", 'fashion and bag', 'brand fashion', 'import', 'shoes', ""women’s and kid's underwear"", 'aroma', 'cosmetics', 'stationery', 'women’s fashion accessories', 'skin care', 'food and drink', 'daily food', 'liquor and wine', 'gift', 'snack and delicacy', 'side dish', 'fresh meat', 'vegetable and fruits', 'fresh fish']",,,True,False
開いてるレジがわかりにくいのが残念 店内のWi-Fiにつながっても、弱い為、アプリが起動しない アプリを起動させる為、いちいちWi-Fiを切らなくてはならないのがとても面倒 更に、元に戻すのを忘れ、自宅のWi-Fiにつながっでいるものだと思いギガを使ってしまい失敗することも 繋がらないWi-Fiなら、やめてほしい 。,NEGATIVE,['DURING'],['STORE'],,,['displays/missing items'],True,False
ドンキブランドを買ったら10%ポイント還元をまたしてほしい！。,POSITIVE,['AFTER'],['SERVICE'],,['coupons and discounts'],,True,False
レジ担当の方がお客様の顔見ながら声かけしていて気持ちよかったです ありがとうございます どの方も同じように接客してくれたらいいですね 。,POSITIVE,['REGISTER'],['SERVICE'],,['customer service of store employees'],,False,False
今日も快適にお買い物が出来ました 有難うございました 。,POSITIVE,['AFTER'],['UNCATEGORIZED'],,,,False,False
お店が綺麗で、商品も綺麗に陳列してありよかったです 。,POSITIVE,['DURING'],['STORE'],,,['store equipment and shopping areas'],False,False
毎回わくわくしながらお買い物楽しんでいます♪安さどこにも負けてないと私は思います！！♫。,POSITIVE,['DURING'],['SERVICE'],,['coupons and discounts'],,False,False
商品にホコリかぶっていました 。,NEGATIVE,['DURING'],['STORE'],,,['store equipment and shopping areas'],False,False
声が聞き取りづらい。,NEGATIVE,['REGISTER'],['SERVICE'],,['customer service of store employees'],,False,False
品揃えがよく買い物に行くのが楽しみです 。,POSITIVE,['DURING'],['PRODUCT'],"['car life', 'toy and variety', 'home electronics', 'smartphone parts', 'adult goods', 'party goods', 'beauty treatment device', 'interior decoration', 'home goods', 'carpenter tool', 'bicycle', 'bedding', 'protein and training', 'outdoor', 'future products', 'daily use items', 'healthcare', 'pet and garden', ""men's underwear"", 'fashion and bag', 'brand fashion', 'import', 'shoes', ""women’s and kid's underwear"", 'aroma', 'cosmetics', 'stationery', 'women’s fashion accessories', 'skin care', 'food and drink', 'daily food', 'liquor and wine', 'gift', 'snack and delicacy', 'side dish', 'fresh meat', 'vegetable and fruits', 'fresh fish']",,,False,False
コーンドレッシング置いてほしぃ！。,POSITIVE,['DURING'],['PRODUCT'],['daily food'],[],[],True,False
プラネット組をありがとう。,POSITIVE,['AFTER'],['SERVICE'],[],['thank you'],[],False,False
品数豊富で安い　ド商品楽しいです。,POSITIVE,['DURING'],"['PRODUCT', 'SERVICE']",['toy and variety'],['enjoyable shopping'],[],False,False
クジてなかなか当たら無いのやな～。,NEGATIVE,['AFTER'],['SERVICE'],[],['lottery'],[],False,False
Bさんgood。,POSITIVE,['REGISTER'],['SERVICE'],[],['cashier'],[],False,False
Webクーポンしか割り引きのない物は買わない！同じ会員で､区別するか？。,NEGATIVE,['DURING'],['SERVICE'],[],"['discount', 'membership']",[],True,False
申し分ありませんでした 。,NEUTRAL,['AFTER'],['SERVICE'],[],['no complaints'],[],False,False
レジが親切でした！。,POSITIVE,['REGISTER'],['SERVICE'],[],['cashier'],[],False,False
惣菜が安くなっててよかった。,POSITIVE,['DURING'],['PRODUCT'],['daily food'],[],[],False,False
クールグリースの再度取り扱いお願いします！。,POSITIVE,['AFTER'],['PRODUCT'],['daily food'],[],[],True,False
レジをもっと解放してて欲しい夕方頃でお客さん多いのにあまり解放してないせいで結構待ちました。,NEGATIVE,['REGISTER'],['STORE'],[],[],['displays/missing items'],True,False
駐車する際、空きスペースが少し少ないような気がします 駐車場の立体化できれば、便利になります 。,NEUTRAL,['AFTER'],['STORE'],[],[],['store equipment and shopping areas'],True,False
キャリーケースをもう少し安くしてほしいです 。,NEGATIVE,['DURING'],['PRODUCT'],['daily use items'],[],[],True,False
一階レジの朝の方々は、比較的皆さん笑顔で対応して頂きますので、気持ちがいいです 2階中央レジの方は、全体的に少しそっけない感じがします 。,NEUTRAL,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
商品にけっこう埃がたまってる。,NEGATIVE,['DURING'],['STORE'],[],[],['store equipment and shopping areas'],False,False
お昼に来店させてもらいました 品出しなど店員さん達も忙しく働いているのに、男性店員(眼鏡の人)ボォーっと突っ立ってボソボソ何か独り言?!言いながら手遊び 店長さんも注意して見た方がいいのでは?!他の真面目に働いてる人が可哀想です 。,NEGATIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
特にありません。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
特に不満やトラブルはありません。,POSITIVE,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
いつも安くてスーパー変わりに楽しみに来ています。,POSITIVE,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
特に有りません。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
レジ解放、もう少し、多めに、してください。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service'],['cash register'],True,False
バイトがやる気ないな 。,NEGATIVE,['UNCATEGORIZED'],['SERVICE'],[],['employee attitude'],[],False,False
レジに並ぶと直ぐにCさん（女性の方）が手を上げて会計に案内してくれました 急いでいたので、スムーズに支払いができ、助かりました 。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service'],['cash register'],False,False
少しでも並ぶと閉鎖しているレジが開く すごいと思う。,POSITIVE,['REGISTER'],['SERVICE'],[],['cash register'],['cash register'],False,False
家電 もーひと頑張り下げてほしい。,POSITIVE,['DURING'],['PRODUCT'],['home electronics'],[],[],True,False
サービスカウンターの店員さんが対応が良いです。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service'],['cash register'],False,False
ネスカフェ　ゴールドブレンドの120gを売って欲しい 。,POSITIVE,['DURING'],['PRODUCT'],['food and drink'],[],[],True,False
レジに居た外国の店員さんの日本語が下手で分かりにくかった 。,NEUTRAL,['REGISTER'],['SERVICE'],[],['customer service'],['cash register'],False,False
レジの方は印象が良いです せっかく範囲が広いのに空いてるレジが少ないのが不満です もっと沢山解放してほしいです 。,NEGATIVE,['REGISTER'],"['SERVICE', 'STORE']",[],['customer service'],['cash register'],True,False
従業員のYさんの応対等が良かった、気配りもできていました 。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service'],['cash register'],False,False
柔軟剤のモルトを入荷してほしいと言い続けてきました すごく安かったので売り切れ次第終了でしょうけどほんとにほんとに嬉しかったです！！買いだめしちゃいました！！またお願いします！！ニュースして頂き有難うございました。,POSITIVE,['DURING'],['PRODUCT'],['car life'],[],[],True,False
●エバラ｢ぬか漬けの素(ボトル)｣を置いて欲しい●駐車場誘導係の方の対応が明解＆的確、且つスピーディーで安心して入出庫できとても有難い。,POSITIVE,['AFTER'],"['PRODUCT', 'SERVICE']",['daily use items'],['parking guidance'],[],True,False
品だしが忙しいとは思いますが声掛けしてどいてもらいましたが少し怒ってたかな？と感じました。,NEUTRAL,['DURING'],['SERVICE'],[],['staff attitude'],[],False,False
通路には商品を置かないでほしいせめてカートが通れるようにしてほしい。,NEGATIVE,['DURING'],['STORE'],[],[],['aisle'],True,False
広告商品が前面になく奥にあり見つけられず、2回も店員に聞きました 指示により別の店員の方がその場所まで案内してくれましたが、棚を指差しただけで顔も見ずに立ち去りました その上、値段も通常価格であり訂正してもらいました 売場名だけ聞いても辿り着かない事もあるし初めから案内するべきではないでしょうか 10分以上散々探した後で大変疲れました 。,NEGATIVE,['DURING'],"['SERVICE', 'STORE']",[],"['staff attitude', 'guidance']",['display'],False,False
特に問題ありませんでした。,NEUTRAL,['AFTER'],['UNCATEGORIZED'],[],[],[],False,False
paypay決済が出来るようにして欲しい 。,POSITIVE,['AFTER'],['SERVICE'],[],['payment'],[],True,False
クーポンがみつけられず、購入しなかった 。,NEGATIVE,['DURING'],['SERVICE'],[],['coupon'],[],False,False
カゴやレジバッグにキレイに詰めて貰えました ありがとうございました。,POSITIVE,['REGISTER'],['SERVICE'],[],['packing'],[],False,False
対応は良かった、でも普通かな？。,NEUTRAL,['REGISTER'],['SERVICE'],[],['staff attitude'],[],False,False
前は店員さんがつかまらなかったけど、今日は平日の昼ということもあってか、店員さんが沢山いて、食品の場所が分からなかったけど、丁寧な対応をしてもらった 。,POSITIVE,['DURING'],['SERVICE'],[],['CUSTOMER SERVICE'],[],False,False
アプリのアップデートでクーポンが分からないのがあり、レジで店員さんに聞いたけど、あ〜アップデートで難しく分かりませんと言われ対応してくれませんでした わからないから聞いてるのに、対応しないなら聞く意味無いとおもいました 。,NEGATIVE,['REGISTER'],['SERVICE'],[],['CUSTOMER SERVICE'],[],False,False
駐輪場が狭い 。,NEGATIVE,['UNCATEGORIZED'],['STORE'],[],[],['PARKING'],False,False
会計レジの方、とても丁寧で好感が持てた 。,POSITIVE,['REGISTER'],['SERVICE'],[],['CUSTOMER SERVICE'],[],False,False
凄く良いお店でした また行きたいです 。,POSITIVE,['AFTER'],['STORE'],[],[],['OVERALL'],False,False
とっても良い対応ありがとうございます。,POSITIVE,['AFTER'],['SERVICE'],[],['CUSTOMER SERVICE'],[],False,False
豆乳を安くしてほしいです 。,NEUTRAL,['UNCATEGORIZED'],['PRODUCT'],['DAIRY PRODUCTS'],[],[],True,False
従業員の対応が親切でとても良かったです 。,POSITIVE,['UNCATEGORIZED'],['SERVICE'],[],['CUSTOMER SERVICE'],[],False,False
特になし。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
豚アレルギーの為　ターキーのハムやウインナーを取り扱ってくれたら嬉しいです。,NEUTRAL,['UNCATEGORIZED'],['PRODUCT'],['MEAT PRODUCTS'],[],[],True,False
レジの、店員さんの手際がよかった 忙しいでしょうに、笑顔で対応してもらいました ただ、売り場の店員さんがレジの方に比べると、寂しい感じだった 。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
従業員の方、親切にして頂いてますよ！案内もして頂いてます 。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
このくじ当選した事が無いのですが、当たる人いるんですか？とても素朴な疑問です 。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],True,False
プレチケの使い方を教えてくれた 。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
シェイバーの替え刃を安くしてほしい！。,NEGATIVE,['AFTER'],['PRODUCT'],['home electronics'],[],[],True,False
ポリ袋のところに　スポンジがなく食品を買うことが多いので　困ります 。,NEGATIVE,['DURING'],['STORE'],[],[],['store equipment and shopping areas'],True,False
カップラーメンを安くしてほしい 。,NEGATIVE,['AFTER'],['PRODUCT'],['daily food'],[],[],True,False
買い物かごを荷物台迄運んていたレジの人がいて親切だなと思った。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
アスパラガスの商品を買いに行ったが見当たらなかったです 。,NEGATIVE,['DURING'],['STORE'],[],[],['displays/missing items'],False,False
混んでいるレジに誘導するスタッフがレジを手伝っていたのがよかったです スタッフが機能的に連携していました 。,POSITIVE,['REGISTER'],['SERVICE'],[],['customer service of store employees'],[],False,False
レジの方、丁寧な対応で、買い物に来てよかったと思いました。,POSITIVE,['REGISTER'],['SERVICE'],[],[],[],False,False
特になし。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
マシュマロがありませんでした。,NEGATIVE,['DURING'],['PRODUCT'],['toy and variety'],[],[],False,False
やすい。,NEUTRAL,['UNCATEGORIZED'],['UNCATEGORIZED'],[],[],[],False,False
那珂川店とは違った感じでよかった。,POSITIVE,['AFTER'],['STORE'],[],[],[],False,False
