text,label
オートチャージで丁寧に教えてくれた。感謝。,1
スプレッドで、明治スプレッタブルという商品を置いてほしい。しょうゆとマヨネーズは安めにしてほしい。お菓子はスーパーと値段がほぼ変わらないので季節ものの商品は安めに置いて頂くとかしたらわざわざ買いに行く価値があるかと思います。,1
シャンプーのジュレームを安くしてほしい,1
いつも、Aさんの対応が素晴らしい。これからも頑張ってください。,1
頻繁に売り場が、急に変わるのが困ります。,0
店員の対応の良し悪しで選んでしまう,2
長い間レジ待ちした挙げ句、店員と一緒に現れた人に先を越された。気分悪い。,0
安いビールを入れて欲しいです！大宮店に。,1
寝具のマットレスの種類を多くして欲しい,1
たくさん安い商品をそろえてほしい,1
よかった。,1
ビッグピート、バスカーなどウイスキーの種類が増え、ドンキでウイスキーを買うという選択がひろがりました,1
レジの店員が丁寧に服を畳んでビニール袋に入れてくれた。,1
いつも通り丁寧にして頂いている,1
いつも買いやすい。,1
駐車場の高齢者スペースを少ない。増やしてほしい,0
クーポンはあるが、商品がないのがここ何回かある。仕方ないが残念。,0
Tさんのレジがスムーズで早かった,1
大津店のスタッフさんはみんな対応がいいです。引っ越して来てから私達家族は1度も嫌な思いとかした事がないので凄く嬉しいです。これからもたくさん利用します！,1
スムーズでした,1
いつも優しい店員さんがいる,1
近くにあるロジャースの方が安いものが割とあった。,1
買いたい商品を探していましたが棚出しスタッフが忙しそうで質問が出来なかった,2
カップフヌードルの合体シリーズがどこよりも高くて残念,0
欲しいな〜っと思った時に？いくらするのか？その商品の値段が分からなくて買えなかった せっかくの激安商品かも知れないのに凄く残念な思いをしました,0
カートが使いにくい！落ちる！まとめ買いは他で買う。,0
会計も空いていてスムーズにできてとても良かった。,1
レジ待ち時間が長いです 。,0
目薬が欲しい。,1
鶏肉、安くて美味しいのでよく買いますが、骨が取れていなく残っている事が多くて残念です。,0
マタニティ用品を取り扱ってほしいウェアや下着、レギンス、葉酸サプリなど 現状見当たらないので 。,1
開いてるレジがわかりにくいのが残念 店内のWi-Fiにつながっても、弱い為、アプリが起動しない アプリを起動させる為、いちいちWi-Fiを切らなくてはならないのがとても面倒 更に、元に戻すのを忘れ、自宅のWi-Fiにつながっでいるものだと思いギガを使ってしまい失敗することも 繋がらないWi-Fiなら、やめてほしい 。,0
ドンキブランドを買ったら10%ポイント還元をまたしてほしい！。,1
レジ担当の方がお客様の顔見ながら声かけしていて気持ちよかったです ありがとうございます どの方も同じように接客してくれたらいいですね 。,1
今日も快適にお買い物が出来ました 有難うございました 。,1
お店が綺麗で、商品も綺麗に陳列してありよかったです 。,1
毎回わくわくしながらお買い物楽しんでいます♪安さどこにも負けてないと私は思います！！♫。,1
商品にホコリかぶっていました 。,0
声が聞き取りづらい。,0
品揃えがよく買い物に行くのが楽しみです 。,1
コーンドレッシング置いてほしぃ！。,1
プラネット組をありがとう。,1
品数豊富で安い　ド商品楽しいです。,1
クジてなかなか当たら無いのやな～。,0
Bさんgood。,1
Webクーポンしか割り引きのない物は買わない！同じ会員で､区別するか？。,0
申し分ありませんでした 。,2
レジが親切でした！。,1
惣菜が安くなっててよかった。,1
クールグリースの再度取り扱いお願いします！。,1
レジをもっと解放してて欲しい夕方頃でお客さん多いのにあまり解放してないせいで結構待ちました。,0
