answer_question,store_name,buying_amount,sentiment_score,d1,d2,text,cluster,cluster_name,month,x,y,sentiment_label,request
リンドールのチョコレートをお安く提供してほしいです,ドン・キホーテ 川西店,5615.0,0.3022897220212983,4.1315565,-54.49942,リンドールのチョコレートをお安く提供してほしいです,30,food_cluster,7,6,6,Null,Null
中村さんが素晴らしかった,ドン・キホーテ 川西店,4635.0,0.809124966491624,-55.160213,24.678581,中村さんが素晴らしかった,46,スタッフ対応クラスター,7,4,7,Null,Null
リファのヘアドライヤー(正規品)を破格で販売してほしいです,ドン・キホーテ 川西店,4120.0,0.3030043579300304,9.049502,-61.286964,リファのヘアドライヤー(正規品)を破格で販売してほしいです,36,限定商品クラスター,8,6,9,Null,Null
カルピスのいちご、買いたいです。,ドン・キホーテ 川西店,779.0,0.4924437105393181,-2.2950552,-57.41538,カルピスのいちご、買いたいです。,5,値引きクラスター,9,7,4,Null,Null
品物が豊富で珍しいものやドン・キホーテ独自の商品が有り値段も安いので！,ドン・キホーテ 川西店,6040.0,0.9025834238846924,29.07791,-39.05959,品物が豊富で珍しいものやドン・キホーテ独自の商品が有り値段も安いので！,41,ドンキ好きクラスター,7,9,7,Null,Null
メガドンキになってください！,ドン・キホーテ 川西店,6510.0,0.0516854519659287,30.80966,-52.780125,メガドンキになってください！,40,ドンキ好きクラスター,5,7,8,Null,Null
中村さんが良かった,ドン・キホーテ 川西店,13555.0,0.5066978680220224,-55.036552,24.572977,中村さんが良かった,46,スタッフ対応クラスター,5,6,5,Null,Null
各シャンプー、コンディショナーのお試しサイズを置いて欲しい。いきなり大きいサイズを買うのは勇気がいる。,ドン・キホーテ 川西店,12280.0,0.7714437690192182,16.211962,-61.299274,各シャンプー、コンディショナーのお試しサイズを置いて欲しい。いきなり大きいサイズを買うのは勇気がいる。,37,ドンキオリジナルシャンプークラスター,5,4,4,Null,Null
きよみずさんの対応が良かったです！子どもに優しかったです！,ドン・キホーテ 川西店,4825.0,0.6602617193295439,-51.55366,23.72221,きよみずさんの対応が良かったです！子どもに優しかったです！,46,スタッフ対応クラスター,9,9,8,Null,Null
レジ対応を迅速に！,ドン・キホーテ 川西店,4285.0,0.8209681319511771,-72.01774,6.6169043,レジ対応を迅速に！,63,スムーズレジクラスター,5,8,5,Null,Null
従業員さんの対応が良かった。,ドン・キホーテ 川西店,3960.0,0.3253310875493697,-50.6809,12.712263,従業員さんの対応が良かった。,56,従業員対応クラスター,5,4,6,Null,Null
ペット用品の格安商品を沢山出して欲しいです。,ドン・キホーテ 川西店,3765.0,0.4106655237738568,3.8525357,-45.33988,ペット用品の格安商品を沢山出して欲しいです。,31,食品クラスター,6,4,9,Null,Null
アプリの使い方がわからなかった私に、とても分かりやすく丁寧な説明をしてもらえました。,ドン・キホーテ 川西店,6650.0,0.5929324445989437,-39.660915,21.941174,アプリの使い方がわからなかった私に、とても分かりやすく丁寧な説明をしてもらえました。,51,マジカポイントクラスター,4,8,4,Null,Null
今日もワインが品切れだったので残念でした、よく品切れが多いです??,ドン・キホーテ 川西店,681.0,0.9728869466784772,-21.224266,-31.210688,今日もワインが品切れだったので残念でした、よく品切れが多いです??,27,商品不足クラスター,7,9,6,Null,Null
残念なのが品切れが多い事で～す,ドン・キホーテ 川西店,1185.0,0.5660785901453581,-21.737005,-31.865303,残念なのが品切れが多い事で～す,25,クラスター名str,5,4,6,Null,Null
タカキベーカリーのパンを置いて頂けると嬉しいです。他社のパンマズいです、、、,ドン・キホーテ 川西店,646.0,0.6155794357851938,-9.914433,-44.419266,タカキベーカリーのパンを置いて頂けると嬉しいです。他社のパンマズいです、、、,6,惣菜クラスター,8,6,8,Null,Null
タカキベーカリーのパンをお願い致します。コオロギを使ってる会社とは早く契約切ってほしいです,ドン・キホーテ 川西店,4525.0,0.6940088122106565,-9.4252405,-44.540775,タカキベーカリーのパンをお願い致します。コオロギを使ってる会社とは早く契約切ってほしいです,6,惣菜クラスター,6,5,9,Null,Null
質問にきちんと答えてくれた,ドン・キホーテ 川西店,2225.0,0.728439119433097,-43.180756,19.083088,質問にきちんと答えてくれた,50,スタッフ対応クラスター,6,7,6,Null,Null
会計時にスプーンをもらい忘れ、会計後にもらいに行ったが嫌な顔をせずに対応して下さった,ドン・キホーテ 川西店,4305.0,0.0126602935555986,-41.32223,14.642091,会計時にスプーンをもらい忘れ、会計後にもらいに行ったが嫌な顔をせずに対応して下さった,49,スタッフ対応クラスター,4,7,6,Null,Null
