mail,sentiment,journey,category,product-category,service-category,store-category,is_request,is_invalid
オートチャージで丁寧に教えてくれた。感謝。,POSITIVE,['DURING'],['SERVICE'],[],['顧客サービス'],[],False,False
スプレッドで、明治スプレッタブルという商品を置いてほしい。しょうゆとマヨネーズは安めにしてほしい。お菓子はスーパーと値段がほぼ変わらないので季節ものの商品は安めに置いて頂くとかしたらわざわざ買いに行く価値があるかと思います。,POSITIVE,['DURING'],"['PRODUCT', 'SERVICE']","['デイリー', '菓子・珍味']",['割引'],[],True,False
シャンプーのジュレームを安くしてほしい,POSITIVE,['DURING'],['PRODUCT'],['理美容家電'],[],[],True,False
いつも、Aさんの対応が素晴らしい。これからも頑張ってください。,POSITIVE,['DURING'],['SERVICE'],[],['顧客サービス'],[],False,False
頻繁に売り場が、急に変わるのが困ります。,NEGATIVE,['DURING'],['STORE'],[],[],['ディスプレイ/欠品'],False,False
店員の対応の良し悪しで選んでしまう,NEUTRAL,['DURING'],['SERVICE'],[],['顧客サービス'],[],False,False
長い間レジ待ちした挙げ句、店員と一緒に現れた人に先を越された。気分悪い。,NEGATIVE,['REGISTER'],['SERVICE'],[],['顧客サービス'],[],False,False
安いビールを入れて欲しいです！大宮店に。,POSITIVE,['DURING'],['PRODUCT'],['リカー＆ワイン'],[],[],True,False
寝具のマットレスの種類を多くして欲しい,POSITIVE,['DURING'],['PRODUCT'],['寝具'],[],[],True,False
たくさん安い商品をそろえてほしい,POSITIVE,['DURING'],['SERVICE'],[],['割引'],[],True,False
よかった。,POSITIVE,['DURING'],['UNCATEGORIZED'],[],[],[],False,False
ビッグピート、バスカーなどウイスキーの種類が増え、ドンキでウイスキーを買うという選択がひろがりました,POSITIVE,['DURING'],['PRODUCT'],['リカー＆ワイン'],[],[],False,False
レジの店員が丁寧に服を畳んでビニール袋に入れてくれた。,POSITIVE,['REGISTER'],['SERVICE'],[],['店舗の従業員のサービス'],[],False,False
いつも通り丁寧にして頂いている,POSITIVE,['REGISTER'],['SERVICE'],[],['店舗の従業員のサービス'],[],False,False
いつも買いやすい。,POSITIVE,['DURING'],['SERVICE'],[],['クーポンと割引'],[],False,False
駐車場の高齢者スペースを少ない。増やしてほしい,NEGATIVE,['AFTER'],['STORE'],[],[],['店舗設備とショッピングエリア'],True,False
クーポンはあるが、商品がないのがここ何回かある。仕方ないが残念。,NEGATIVE,['DURING'],"['SERVICE', 'STORE']",[],['クーポンと割引'],['ディスプレイ/欠品'],False,False
Tさんのレジがスムーズで早かった,POSITIVE,['REGISTER'],['SERVICE'],[],['店舗の従業員のサービス'],[],False,False
