comment,category,tag,keywords
オートチャージで丁寧に教えてくれた。感謝。,サービス・設備,接客態度,"['オートチャージ', '教えて']"
スプレッドで、明治スプレッタブルという商品を置いてほしい。しょうゆとマヨネーズは安めにしてほしい。お菓子はスーパーと値段がほぼ変わらないので季節ものの商品は安めに置いて頂くとかしたらわざわざ買いに行く価値があるかと思います。,商品,商品在庫,"['スプレッド', '明治スプレッタブル', 'しょうゆ', 'マヨネーズ', 'お菓子', 'スーパー', '値段', '季節もの', '安め']"
シャンプーのジュレームを安くしてほしい,商品,ヘルスケア,"['シャンプー', 'ジュレーム', '安く']"
いつも、Aさんの対応が素晴らしい。これからも頑張ってください。,サービス・設備,接客態度,"['対応', '素晴らしい', '頑張って']"
頻繁に売り場が、急に変わるのが困ります。,サービス・設備,店内レイアウト,"['売り場', '変わる']"
店員の対応の良し悪しで選んでしまう,サービス・設備,接客態度,[]
長い間レジ待ちした挙げ句、店員と一緒に現れた人に先を越された。気分悪い。,サービス・設備,レジ処理の速度,"['レジ待ち', '先を越された']"
安いビールを入れて欲しいです！大宮店に。,商品,デイリー,"['安い', 'ビール', '大宮店']"
寝具のマットレスの種類を多くして欲しい,商品,寝具,"['マットレス', '種類']"
ビッグピート、バスカーなどウイスキーの種類が増え、ドンキでウイスキーを買うという選択がひろがりました,商品,リカー＆ワイン,"['ビッグピート', 'バスカー', 'ウイスキー', 'ドンキ']"
レジの店員が丁寧に服を畳んでビニール袋に入れてくれた。,サービス・設備,接客態度,"['レジ', '店員', '丁寧', '服', '畳む', 'ビニール袋']"
いつも通り丁寧にして頂いている,サービス・設備,接客態度,['丁寧']
駐車場の高齢者スペースを少ない。増やしてほしい,サービス・設備,駐車場,"['高齢者スペース', '少ない', '増やしてほしい']"
クーポンはあるが、商品がないのがここ何回かある。仕方ないが残念。,商品,欠品,"['クーポン', '商品', 'ない', '残念']"
Tさんのレジがスムーズで早かった,サービス・設備,レジ処理の速度,"['Tさん', 'レジ', 'スムーズ', '早かった']"
大津店のスタッフさんはみんな対応がいいです。引っ越して来てから私達家族は1度も嫌な思いとかした事がないので凄く嬉しいです。これからもたくさん利用します！,サービス・設備,接客態度,"['大津店', 'スタッフ', '対応', '嬉しい']"
スムーズでした,サービス・設備,接客態度,['スムーズ']
いつも優しい店員さんがいる,サービス・設備,接客態度,"['優しい', '店員さん']"
買いたい商品を探していましたが棚出しスタッフが忙しそうで質問が出来なかった ,サービス・設備,接客態度,"['棚出しスタッフ', '忙しい', '質問']"
カップフヌードルの合体シリーズがどこよりも高くて残念 ,商品,デイリーグッズ,"['カップヌードル', '合体シリーズ', '高い']"
会計も空いていてスムーズにできてとても良かった。,サービス・設備,レジ処理の速度,"['会計', '空いている', 'スムーズ']"
レジ待ち時間が長いです 。,サービス・設備,レジ処理の速度,"['レジ待ち時間', '長い']"
目薬が欲しい。,商品,ヘルスケア,['目薬']
マタニティ用品を取り扱ってほしいウェアや下着、レギンス、葉酸サプリなど 現状見当たらないので 。,商品,ヘルスケア,"['マタニティ用品', 'ウェア', '下着', 'レギンス', '葉酸サプリ']"
店内のWi-Fiにつながっても、弱い為、アプリが起動しない アプリを起動させる為、いちいちWi-Fiを切らなくてはならないのがとても面倒 更に、元に戻すのを忘れ、自宅のWi-Fiにつながっでいるものだと思いギガを使ってしまい失敗することも 繋がらないWi-Fiなら、やめてほしい 。,サービス・設備,その他設備,"['レジ', '店内', 'Wi-Fi', 'アプリ', '面倒', '失敗']"
ドンキブランドを買ったら10%ポイント還元をまたしてほしい！。,サービス・設備,割引サービス,"['ドンキブランド', '10%ポイント還元']"
レジ担当の方がお客様の顔見ながら声かけしていて気持ちよかったです ありがとうございます どの方も同じように接客してくれたらいいですね 。,サービス・設備,接客態度,"['レジ担当', 'お客様の顔見ながら声かけ', '気持ちよかった']"
今日も快適にお買い物が出来ました 有難うございました 。,サービス・設備,接客態度,"['快適', 'お買い物', '有難うございました']"
毎回わくわくしながらお買い物楽しんでいます♪安さどこにも負けてないと私は思います！！♫。,商品,商品価格,"['お買い物', '楽しい', '安い']"
商品にホコリかぶっていました 。,商品,店内の清潔度,['ホコリ']
声が聞き取りづらい。,サービス・設備,接客態度,"['声', '聞き取りづらい']"
品揃えがよく買い物に行くのが楽しみです 。,商品,商品陳列,"['品揃え', '買い物', '楽しみ']"
コーンドレッシング置いてほしぃ！。,商品,デイリー,['コーンドレッシング']
プラネット組をありがとう。,サービス・設備,菓子・珍味,['ありがとう']
品数豊富で安い　ド商品楽しいです。,商品,商品在庫,"['品数豊富', '安い', '楽しい']"
クジてなかなか当たら無いのやな～。,サービス・設備,その他サービス,"['クジ', '当たらない']"
Bさんgood。,サービス・設備,接客態度,"['Bさん', 'good']"
Webクーポンしか割り引きのない物は買わない！同じ会員で､区別するか？。,サービス・設備,割引サービス,"['クーポン', '割引']"
レジが親切でした！。,サービス・設備,接客態度,['親切']
惣菜が安くなっててよかった。,商品,デリカ,"['惣菜', '安くなる']"
クールグリースの再度取り扱いお願いします！。,商品,ヘルスケア,"['クールグリース', '取り扱い']"
レジをもっと解放してて欲しい夕方頃でお客さん多いのにあまり解放してないせいで結構待ちました。,サービス・設備,レジ処理の速度,"['レジ', '解放', '夕方', 'お客さん', '待ち']"
駐車する際、空きスペースが少し少ないような気がします 駐車場の立体化できれば、便利になります 。,サービス・設備,駐車場,"['駐車', '空きスペース', '少ない', '立体化']"
キャリーケースをもう少し安くしてほしいです 。,商品,ホームグッズ,"['キャリーケース', '安く']"
一階レジの朝の方々は、比較的皆さん笑顔で対応して頂きますので、気持ちがいいです 2階中央レジの方は、全体的に少しそっけない感じがします 。,サービス・設備,接客態度,"['一階レジ', '朝', '笑顔', '対応', '気持ちいい', '2階中央レジ', 'そっけない']"
商品にけっこう埃がたまってる。,サービス・設備,店内の清潔度,['埃']
お昼に来店させてもらいました 品出しなど店員さん達も忙しく働いているのに、男性店員(眼鏡の人)ボォーっと突っ立ってボソボソ何か独り言?!言いながら手遊び 店長さんも注意して見た方がいいのでは?!他の真面目に働いてる人が可哀想です 。,サービス・設備,接客態度,"['店員', '眼鏡', '独り言', '手遊び', '注意']"
いつも安くてスーパー変わりに楽しみに来ています。,サービス・設備,商品価格,"['安く', 'スーパー', '変わり', '楽しみ']"
レジ解放、もう少し、多めに、してください。,サービス・設備,レジ処理の速度,"['レジ解放', '多め']"
バイトがやる気ないな 。,サービス・設備,接客態度,"['バイト', 'やる気ない']"
レジに並ぶと直ぐにCさん（女性の方）が手を上げて会計に案内してくれました 急いでいたので、スムーズに支払いができ、助かりました 。,サービス・設備,レジ処理の速度,"['レジ', '直ぐ', 'Cさん', '女性', '手を上げて', '会計', '案内', 'スムーズ', '支払い', '助かりました']"
少しでも並ぶと閉鎖しているレジが開く すごいと思う。,サービス・設備,レジ処理の速度,"['並ぶ', '閉鎖', '開く']"
家電 もーひと頑張り下げてほしい。,サービス・設備,ホームエレクトロニクス,"['頑張り', '下げてほしい']"
サービスカウンターの店員さんが対応が良いです。,サービス・設備,接客態度,"['サービスカウンター', '店員さん', '対応', '良い']"
ネスカフェ　ゴールドブレンドの120gを売って欲しい 。,商品,デイリー,"['ネスカフェ', 'ゴールドブレンド', '120g']"
レジに居た外国の店員さんの日本語が下手で分かりにくかった 。,サービス・設備,接客態度,"['外国', '店員', '日本語', '下手', '分かりにくい']"
レジの方は印象が良いです せっかく範囲が広いのに空いてるレジが少ないのが不満です もっと沢山解放してほしいです 。,サービス・設備,レジ処理の速度,"['レジ', '範囲', '空いてる', '少ない', '解放']"
従業員のYさんの応対等が良かった、気配りもできていました 。,サービス・設備,接客態度,"['従業員', 'Yさん', '応対', '気配り']"
柔軟剤のモルトを入荷してほしいと言い続けてきました すごく安かったので売り切れ次第終了でしょうけどほんとにほんとに嬉しかったです！！買いだめしちゃいました！！またお願いします！！ニュースして頂き有難うございました。,商品,デイリー,"['柔軟剤', 'モルト', '安い', '売り切れ', '買いだめ']"
●エバラ｢ぬか漬けの素(ボトル)｣を置いて欲しい●駐車場誘導係の方の対応が明解＆的確、且つスピーディーで安心して入出庫できとても有難い。,商品,デイリー,"['エバラ', 'ぬか漬けの素']"
品だしが忙しいとは思いますが声掛けしてどいてもらいましたが少し怒ってたかな？と感じました。,サービス・設備,接客態度,"['品出し', '忙しい', '声掛け', '怒ってる']"
通路には商品を置かないでほしいせめてカートが通れるようにしてほしい。,サービス・設備,店内レイアウト,"['通路', '商品', 'カート']"
広告商品が前面になく奥にあり見つけられず、2回も店員に聞きました 指示により別の店員の方がその場所まで案内してくれましたが、棚を指差しただけで顔も見ずに立ち去りました その上、値段も通常価格であり訂正してもらいました 売場名だけ聞いても辿り着かない事もあるし初めから案内するべきではないでしょうか 10分以上散々探した後で大変疲れました 。,サービス・設備,接客態度,"['広告商品', '見つけられず', '店員', '指示', '案内', '値段', '通常価格', '訂正', '売場名', '初めから案内', '探した', '疲れました']"
paypay決済が出来るようにして欲しい 。,サービス・設備,その他サービス,"['paypay', '決済']"
クーポンがみつけられず、購入しなかった 。,サービス・設備,割引サービス,"['クーポン', 'みつけられず', '購入しなかった']"
カゴやレジバッグにキレイに詰めて貰えました ありがとうございました。,サービス・設備,レジ処理の速度,"['カゴ', 'レジバッグ', 'キレイに詰めて貰えました']"
対応は良かった、でも普通かな？。,サービス・設備,接客態度,"['対応', '良かった', '普通']"
前は店員さんがつかまらなかったけど、今日は平日の昼ということもあってか、店員さんが沢山いて、食品の場所が分からなかったけど、丁寧な対応をしてもらった 。,サービス・設備,接客態度,"['店員さん', '平日の昼', '食品', '分からなかった', '丁寧な対応']"
アプリのアップデートでクーポンが分からないのがあり、レジで店員さんに聞いたけど、あ〜アップデートで難しく分かりませんと言われ対応してくれませんでした わからないから聞いてるのに、対応しないなら聞く意味無いとおもいました 。,サービス・設備,商品知識,"['アプリ', 'アップデート', 'クーポン', 'レジ', '店員', '対応']"
駐輪場が狭い 。,サービス・設備,駐車場,"['駐輪場', '狭い']"
会計レジの方、とても丁寧で好感が持てた 。,サービス・設備,接客態度,"['会計レジ', '丁寧', '好感']"
凄く良いお店でした また行きたいです 。,サービス・設備,接客態度,"['良い', 'お店', '行きたい']"
とっても良い対応ありがとうございます。,サービス・設備,接客態度,"['対応', 'ありがとうございます']"
豆乳を安くしてほしいです 。,商品,デイリー,"['豆乳', '安く']"
従業員の対応が親切でとても良かったです 。,サービス・設備,接客態度,"['従業員', '対応', '親切']"
豚アレルギーの為　ターキーのハムやウインナーを取り扱ってくれたら嬉しいです。,商品,デイリー,"['豚アレルギー', 'ターキー', 'ハム', 'ウインナー']"
レジの、店員さんの手際がよかった 忙しいでしょうに、笑顔で対応してもらいました ただ、売り場の店員さんがレジの方に比べると、寂しい感じだった 。,サービス・設備,接客態度,"['レジ', '店員さん', '手際', '笑顔', '対応', '売り場', '寂しい感じ']"
従業員の方、親切にして頂いてますよ！案内もして頂いてます 。,サービス・設備,接客態度,"['従業員', '親切', '案内']"
このくじ当選した事が無いのですが、当たる人いるんですか？とても素朴な疑問です 。,サービス・設備,その他サービス,"['くじ', '当選', '素朴な疑問']"
プレチケの使い方を教えてくれた 。,サービス・設備,商品知識,"['プレチケ', '使い方']"
シェイバーの替え刃を安くしてほしい！。,商品,理美容家電,"['シェイバー', '替え刃', '安く']"
ポリ袋のところに　スポンジがなく食品を買うことが多いので　困ります 。,商品,商品在庫,"['ポリ袋', 'スポンジ', '食品', '困ります']"
カップラーメンを安くしてほしい 。,商品,デイリー,"['カップラーメン', '安く']"
買い物かごを荷物台迄運んていたレジの人がいて親切だなと思った。,サービス・設備,接客態度,"['買い物かご', '荷物台', '運ぶ', 'レジ', '親切']"
アスパラガスの商品を買いに行ったが見当たらなかったです 。,商品,商品在庫,['アスパラガス']
混んでいるレジに誘導するスタッフがレジを手伝っていたのがよかったです スタッフが機能的に連携していました 。,サービス・設備,レジ処理の速度,"['混んでいる', 'レジ', '誘導', 'スタッフ', '連携']"
レジの方、丁寧な対応で、買い物に来てよかったと思いました。,サービス・設備,接客態度,"['レジ', '丁寧な対応', '買い物']"
マシュマロがありませんでした 。,商品,デイリー,['マシュマロ']
お目当てのシャケフレークが売り切れでなかったテレビで出てた商品なので多めに用意してほしい。,商品,デイリー,"['シャケフレーク', '売り切れ', 'テレビ']"
・豆腐干を仕入れて欲しい ・ドンキのカナダ産の豚肉の脂の甘味が大好きです  私は同じカナダ産でも、深江橋のドンキのカナダ産の豚肉が好きです 産地を変えないで欲しい 。,商品,フード＆ドリンク,"['豆腐干', 'ドンキ', 'カナダ産', '豚肉', '脂の甘味', '深江橋']"
駐車場が凸凹していてカートがおしずらい。,サービス・設備,駐車場,"['凸凹', 'カート', 'おしずらい']"
 前回も書かせて頂きましたが、従業員さんの対応はいつも丁寧なので、安心して買い物ができます 有り難うこざいます 。,サービス・設備,接客態度,"['従業員', '対応', '丁寧', '安心', '買い物']"
保湿剤とかが置いてある通路のド真ん中に店員さんが荷物を置いていて通れなかった(茶髪でウエーブのかかった髪の毛のおばさん、その人だけ毎回挨拶しない、一度商品を貰おうとして声をかけたら「今、むり！」と断られた)。,サービス・設備,接客態度,"['保湿剤', '通路', '店員さん', '荷物', '通れない', '茶髪', 'ウエーブ', '髪の毛', 'おばさん', '挨拶', '商品', '声をかける', '断られる']"
レジ担当者すこぶる無愛想だった こういう人はココで珍しいですね…バイトという印象ではなかったが喋り方もブッキラボウで丁寧さに欠けていたし品物の扱いも雑だった。,サービス・設備,接客態度,"['レジ担当者', '無愛想', '喋り方', '丁寧さ', '品物の扱い']"
カロリーメイトのブロックタイプはドラックストアより値段が高いです。,商品,デイリー,"['カロリーメイト', 'ブロックタイプ', 'ドラックストア', '値段', '高い']"
レジが混んでいる時間帯でも快く対応してくださる店員さん方にいつも感謝しております 。,サービス・設備,接客態度,"['レジ', '混んでいる', '時間帯', '快く対応', '感謝']"
ご当地の果物、野菜を充実させて欲しい。,商品,ベジタブル・フルーツ,"['ご当地', '果物', '野菜']"
試着室を用意してほしいです 。,サービス・設備,その他設備,['試着室']
子供用マスクの在庫が少なかったので、常に置いてあると良いと思う 。,商品,ホームグッズ,"['子供用マスク', '在庫', '少ない', '置いてある']"
Wさんの対応は、挨拶・笑顔・案内・確認・振る舞いは申し分ありません 若いと思いますが、しっかりとされてます 。,サービス・設備,接客態度,"['挨拶', '笑顔', '案内', '確認', '振る舞い', '若い']"
水木クーポンの出し方が分かりづらい。,サービス・設備,割引サービス,"['クーポン', '出し方', '分かりづらい']"
目線を合わさないのは色々な理由があるにしろ物の扱いが雑すぎます、因みに女性の方です 。,サービス・設備,接客態度,"['目線', '合わさない', '物の扱い', '雑', '女性']"
